Film_Adi_TR,Film_Adi_Yabanci,Film_Turu,Yonetmen,Vizyon_Tarihi,Seyirci_Sayisi,Toplam Hasılat,Yapimci,Oyuncular,IMDb,Gosterim_Hafta,Yapimci_Ulke
Creed III: Efsane Devam Ediyor,Creed III,"Macera, Dram, Spor",Michael B. Jordan,3/3/2023,"52,421","4,555,536","Irwin Winkler, Charles Winkler, William Chartoff","Michael B. Jordan, Tessa Thompson, Jonathan Majors",6.7,4,ABD
Karlar Kralı Norm 3: Aile Tatili,Norm of the North: Family Vacation,Animasyon,Anthony Bell,3/17/2023,"51,270","3,748,155","Andrew Tight, Лиз Янг","Lisa Durupt, Jonathan Holmes, Brian Drummond",3.0,12,ABD
Konuş Benimle,Talk to Me,"Korku, Gerilim","Danny Philippou, Michael Philippou",9/1/2023,"50,352","4,963,713","Kristina Ceyton, Samantha Jennings","Sophie Wilde, Alexandra Jensen, Joe Bird",7.1,10,Avustralya
Hayat,,Dram,Zeki Demirkubuz,12/15/2023,"70,036","8,774,952",Mavi Film,"Miray Daner, Burak Dakak, Cem Davran",7.4,14,Türkiye
Şeytanın Düşmanı,The Pope's Exorcist,"Korku, Gerilim",Julius Avery,5/5/2023,"49,351","3,954,163","Doug Belgrad, Michael Patrick Kaczmarek, Jeff Katz","Russell Crowe, Ralph Ineson, Franco Nero",6.1,8,ABD
Çocuk ve Balıkçıl,"Kimitachi wa dô ikiru ka, The Boy and the Heron","Macera, Animasyon, Dram",Hayao Miyazaki,10/27/2023,"59,748","6,513,691","Gorō Miyazaki, Toshio Suzuki, Koji Hoshino","Soma Santoki, Masaki Suda, Kô Shibasaki",7.6,21,Japonya
Mavka: Ormanın Şarkısı,"Mavka, Mavka: The Forest Song",Animasyon,"Oleksandra Ruban, Oleh Malamuzh, Yevheniy Yermak",10/27/2023,"48,343","4,926,077","Egor Olesov, Anna Eliseeva, Iryna Kostiuk","Nataliya Denisenko, Artem Pivovarov, Elena Kravets",6.6,16,Ukrayna
Alem-i Cin 4,,Korku,Burak Çelik,4/21/2023,"45,351","3,492,230",BMS Film,"Merve Özel, Onur Aziz Özdemir, Levent Çakır",2.8,4,Türkiye
Meksika Açmazı,,Komedi,Alper Mestçi,11/17/2023,"43,725","5,113,083","Muhteşem Film, TME Films","Mesut Süre, Fazlı Polat, Anlatanadam",4.0,7.5,Türkiye
65,,"Gerilim, Bilim-Kurgu","Bryan Woods, Scott Beck",3/10/2023,"43,546","3,402,162","Scott Beck, Bryan Woods, Sam Raimi","Adam Driver, Ariana Greenblatt, Chloe Coleman",5.4,6,ABD
