Film_Adi_TR,Film_Adi_Yabanci,Film_Turu,Yonetmen,Vizyon_Tarihi,Seyirci_Sayisi,Toplam Has?lat,Yapimci,Oyuncular,IMDb,Gosterim_Hafta,Yapimci_Ulke
Rafadan Tayfa Galaktik Tayfa,,Animasyon,?smail Fidan,01/06/2023,2746254,164255567,ISF Film Prodüksiyon,"?irin Giobbi, Levent Kol, Emine Sergen Kazbek",6.1,7,Türkiye
Kutsal Damacana 4,,Komedi,Kamil Çetin,01/20/2023,921351,62308051,Poll Films,"?afak Sezer, Ersin Korkut, Müjde Uzman",3.1,5,Türkiye
?llegal Hayatlar,,Komedi,Cenk Çelik,01/13/2023,647349,43805535,"DMC, NETD, WOVIE, RETROPRO","Mahsun Karaca, ?ahin Sarsu, Mehmet Kahraman",7,6,Türkiye
Çizmeli Kedi: Son Dilek,Puss in Boots: The Last Wish,"Macera, Komedi, Animasyon","Januel Mercado, Joel Crawford",01/27/2023,624017,42843346,Mark Swift,"Antonio Banderas, Salma Hayek, Harvey Guillen",7.9,4,ABD
Servet Operasyonu,Operation Fortune: Ruse de guerre,"Gerilim, Komedi, Aksiyon",Guy Ritchie,01/13/2023,116177,8545912,Jason Statham,"Jason Statham, Hugh Grant, Aubrey Plaza",6.7,6,ABD
Demir Kad?n: Neslican,,"Dram, Biyografi",Özgür Bakar,01/27/2023,96854,6148574,"CNS Prodüksiyon, Ceylan Yap?m, K Yap?m","Naz Ça?la Irmak, ?lker Aksum, Deniz U?ur",7.1,4,Türkiye
Sevda Mecburi ?stikamet,,Dram,Ça?an Irmak,01/06/2023,95678,6196974,Orchestra Content,"Selçuk Yöntem, Selin ?ekerci, Kubilay Aka",6.5,5,Türkiye
Musallat 3,,Korku,Özgür Bakar,02/03/2023,85912,5822471,Mia Yap?m,"Kurtulu? ?akira?ao?lu, Pelinsu Çileli, ?brahim Aslan",3.1,3,Türkiye
Prestij Meselesi,,"Dram, Müzik",Mahsun K?rm?z?gül,02/03/2023,79982,6268772,Boyut Film,"Engin Hepileri, Eser Yenenler, Asl?han Güner",6.1,2,Türkiye
Benim Tatl? Di? Perim,My Fairy Troublemaker,"Macera, Komedi, Animasyon",Caroline Origer,01/20/2023,78587,5144332,Christine Parisse,"Jella Haase, Lisa-Marie Koroll, Alex Avenell",6.8,5,"Almanya, Lüksemburg"
Muhte?em Kedi Maurice,The Amazing Maurice,"Animasyon, Aile, 3 Boyutlu","Toby Genkel, Florian Westermann",01/20/2023,66756,4315434,Robert Chandler,"Hugh Laurie, Emilia Clarke, Himesh Patel",6.3,5,"Almanya, Birle?ik Krall?k"
49,,"Dram, Aksiyon",Hakan ?nan,01/20/2023,62653,3907767,CNP Film,"?smail Hac?o?lu, Hande Do?andemir, Sinan Tuzcu",5.3,5,Türkiye
Mumyalar,Mummies,Animasyon,Juan Jesús García Galocha,02/03/2023,55051,4010767,Jordi Gasull,"Ana Esther Alborg, Roser Aldabó Arnau, Oscar Barberán",6.1,3,ABD
Megan,M3GAN,"Korku, Gerilim, Bilim-Kurgu",Gerard Johnstone,01/13/2023,54347,3903069,"Blumhouse Productions, Divide/Conquer, Atomic Monster","Allison Williams, Violet McGraw, Amie Donald",6.4,6,ABD
Ainbo: Amazon'da Büyük Macera,Ainbo,Animasyon,"Jose Zelada, Richard Claus",01/27/2023,51325,3552258,Richard Claus,"Lola Raie, Bernardo De Paula, Thom Hoffman",4.8,4,ABD
Babil,Babylon,Dram,Damien Chazelle,01/20/2023,43620,3888207,Marc Platt (III),"Margot Robbie, Brad Pitt, Diego Calva",7.3,5,ABD
